Using specified device: cuda:0
[AGCRN] 参数量: 38,199

>>> Run 1/3  [AGCRN]  开始训练...
| epoch  42 | 168.8s | loss 0.0881 | mae 0.0806 | rmse 0.5089 | da 0.5049 | tda 0.5030 | ic 0.0064 | icir 0.1387
| epoch  43 | 166.3s | loss 0.0877 | mae 0.0820 | rmse 0.5124 | da 0.5045 | tda 0.5026 | ic 0.0061 | icir 0.1136
| epoch  44 | 168.2s | loss 0.0875 | mae 0.0782 | rmse 0.5078 | da 0.5061 | tda 0.5076 | ic 0.0063 | icir 0.1390
| epoch  45 | 168.9s | loss 0.0876 | mae 0.0829 | rmse 0.5147 | da 0.5042 | tda 0.5028 | ic -0.0038 | icir -0.0681
| epoch  46 | 163.9s | loss 0.0869 | mae 0.0793 | rmse 0.5115 | da 0.5071 | tda 0.5094 | ic 0.0063 | icir 0.1199
| epoch  47 | 168.3s | loss 0.0867 | mae 0.0805 | rmse 0.5111 | da 0.5072 | tda 0.5097 | ic 0.0081 | icir 0.1450
| epoch  48 | 147.0s | loss 0.0863 | mae 0.0767 | rmse 0.5064 | da 0.5067 | tda 0.5104 | ic 0.0136 | icir 0.2979
| epoch  49 | 142.2s | loss 0.0862 | mae 0.0799 | rmse 0.5096 | da 0.5038 | tda 0.5042 | ic 0.0053 | icir 0.0871
| epoch  50 | 145.5s | loss 0.0858 | mae 0.0772 | rmse 0.5072 | da 0.5068 | tda 0.5103 | ic 0.0076 | icir 0.1511
Run 1 Final Test [AGCRN]: MAE 0.0945 | RMSE 0.6713 | DA 0.5036 | tDA 0.5106 | IC 0.0167 | ICIR 0.2795
[AGCRN] 参数量: 38,199

>>> Run 2/3  [AGCRN]  开始训练...
| epoch   1 | 145.3s | loss 0.7616 | mae 0.7146 | rmse 3.7642 | da 0.5066 | tda 0.5034 | ic -0.0000 | icir -0.0007
| epoch   2 | 142.2s | loss 0.6926 | mae 0.5265 | rmse 2.7837 | da 0.5043 | tda 0.5016 | ic 0.0097 | icir 0.1595
| epoch   3 | 145.3s | loss 0.3911 | mae 0.2670 | rmse 1.1242 | da 0.5049 | tda 0.5063 | ic 0.0098 | icir 0.1967
| epoch   4 | 144.8s | loss 0.2441 | mae 0.2002 | rmse 0.7826 | da 0.5046 | tda 0.5036 | ic 0.0040 | icir 0.0867
| epoch   5 | 141.9s | loss 0.2000 | mae 0.1782 | rmse 0.6877 | da 0.5048 | tda 0.5027 | ic -0.0028 | icir -0.0708
| epoch   6 | 145.3s | loss 0.1732 | mae 0.1622 | rmse 0.6524 | da 0.5058 | tda 0.5060 | ic 0.0037 | icir 0.0867
| epoch   7 | 144.6s | loss 0.1549 | mae 0.1595 | rmse 0.6875 | da 0.5071 | tda 0.5075 | ic 0.0029 | icir 0.0624
| epoch   8 | 142.9s | loss 0.1418 | mae 0.1459 | rmse 0.6403 | da 0.5062 | tda 0.5071 | ic -0.0018 | icir -0.0331
| epoch   9 | 145.4s | loss 0.1333 | mae 0.1356 | rmse 0.6101 | da 0.5076 | tda 0.5094 | ic 0.0039 | icir 0.0729
| epoch  10 | 144.6s | loss 0.1277 | mae 0.1381 | rmse 0.6254 | da 0.5068 | tda 0.5075 | ic 0.0032 | icir 0.0565
| epoch  11 | 140.6s | loss 0.1240 | mae 0.1328 | rmse 0.6088 | da 0.5066 | tda 0.5057 | ic 0.0048 | icir 0.0849
| epoch  12 | 145.2s | loss 0.1208 | mae 0.1226 | rmse 0.5712 | da 0.5067 | tda 0.5048 | ic 0.0040 | icir 0.0758
| epoch  13 | 144.7s | loss 0.1189 | mae 0.1284 | rmse 0.5950 | da 0.5062 | tda 0.5060 | ic 0.0043 | icir 0.0737
| epoch  14 | 142.8s | loss 0.1173 | mae 0.1276 | rmse 0.5963 | da 0.5069 | tda 0.5068 | ic 0.0037 | icir 0.0648
| epoch  15 | 144.5s | loss 0.1150 | mae 0.1148 | rmse 0.5568 | da 0.5062 | tda 0.5037 | ic 0.0001 | icir 0.0013
| epoch  16 | 145.3s | loss 0.1136 | mae 0.1216 | rmse 0.5805 | da 0.5069 | tda 0.5047 | ic 0.0029 | icir 0.0505
| epoch  17 | 143.0s | loss 0.1127 | mae 0.1090 | rmse 0.5438 | da 0.5067 | tda 0.5037 | ic -0.0009 | icir -0.0192
| epoch  18 | 143.8s | loss 0.1107 | mae 0.1072 | rmse 0.5421 | da 0.5065 | tda 0.5038 | ic 0.0049 | icir 0.1016
| epoch  19 | 145.3s | loss 0.1098 | mae 0.1126 | rmse 0.5546 | da 0.5083 | tda 0.5070 | ic 0.0025 | icir 0.0456
| epoch  20 | 142.9s | loss 0.1089 | mae 0.1050 | rmse 0.5347 | da 0.5063 | tda 0.5041 | ic 0.0027 | icir 0.0625
| epoch  21 | 144.6s | loss 0.1078 | mae 0.1113 | rmse 0.5553 | da 0.5075 | tda 0.5048 | ic 0.0021 | icir 0.0380
| epoch  22 | 145.3s | loss 0.1072 | mae 0.1057 | rmse 0.5398 | da 0.5067 | tda 0.5048 | ic 0.0072 | icir 0.1335
| epoch  23 | 143.0s | loss 0.1061 | mae 0.1032 | rmse 0.5347 | da 0.5059 | tda 0.5019 | ic -0.0013 | icir -0.0274
| epoch  24 | 144.6s | loss 0.1053 | mae 0.1056 | rmse 0.5394 | da 0.5070 | tda 0.5064 | ic 0.0025 | icir 0.0469
| epoch  25 | 145.2s | loss 0.1045 | mae 0.1085 | rmse 0.5519 | da 0.5056 | tda 0.5024 | ic 0.0009 | icir 0.0156
| epoch  26 | 141.7s | loss 0.1035 | mae 0.1006 | rmse 0.5336 | da 0.5073 | tda 0.5048 | ic -0.0023 | icir -0.0495
