Using specified device: cuda:0
[ITRANSFORMER] 参数量: 160,833

>>> Run 1/3  [ITRANSFORMER]  开始训练...
| epoch  42 |  16.2s | loss 0.0894 | mae 0.0956 | rmse 0.5585 | da 0.5082 | tda 0.5034 | ic 0.0005 | icir 0.0067
| epoch  43 |  16.0s | loss 0.0893 | mae 0.0901 | rmse 0.5415 | da 0.5100 | tda 0.5059 | ic 0.0006 | icir 0.0085
| epoch  44 |  15.8s | loss 0.0892 | mae 0.0916 | rmse 0.5471 | da 0.5099 | tda 0.5047 | ic 0.0044 | icir 0.0629
| epoch  45 |  16.2s | loss 0.0889 | mae 0.0952 | rmse 0.5566 | da 0.5072 | tda 0.5050 | ic 0.0017 | icir 0.0255
| epoch  46 |  15.8s | loss 0.0887 | mae 0.0922 | rmse 0.5474 | da 0.5076 | tda 0.5055 | ic 0.0001 | icir 0.0007
| epoch  47 |  15.7s | loss 0.0885 | mae 0.0942 | rmse 0.5549 | da 0.5076 | tda 0.5039 | ic 0.0017 | icir 0.0241
| epoch  48 |  16.2s | loss 0.0883 | mae 0.1043 | rmse 0.5898 | da 0.5076 | tda 0.5039 | ic 0.0003 | icir 0.0049
| epoch  49 |  16.1s | loss 0.0881 | mae 0.0949 | rmse 0.5593 | da 0.5084 | tda 0.5056 | ic 0.0037 | icir 0.0547
| epoch  50 |  16.2s | loss 0.0877 | mae 0.0926 | rmse 0.5513 | da 0.5081 | tda 0.5044 | ic 0.0023 | icir 0.0343
Run 1 Final Test [ITRANSFORMER]: MAE 0.0999 | RMSE 0.6936 | DA 0.5077 | tDA 0.5060 | IC 0.0215 | ICIR 0.3122
[ITRANSFORMER] 参数量: 160,833

>>> Run 2/3  [ITRANSFORMER]  开始训练...
| epoch   1 |  16.1s | loss 0.2464 | mae 0.1333 | rmse 0.7757 | da 0.5088 | tda 0.5083 | ic 0.0100 | icir 0.1832
| epoch   2 |  16.2s | loss 0.1594 | mae 0.1148 | rmse 0.6907 | da 0.5090 | tda 0.5063 | ic 0.0004 | icir 0.0074
| epoch   3 |  16.1s | loss 0.1429 | mae 0.1078 | rmse 0.6477 | da 0.5071 | tda 0.5038 | ic 0.0031 | icir 0.0547
| epoch   4 |  15.8s | loss 0.1332 | mae 0.0999 | rmse 0.6234 | da 0.5082 | tda 0.5042 | ic 0.0011 | icir 0.0170
| epoch   5 |  16.2s | loss 0.1257 | mae 0.0963 | rmse 0.6034 | da 0.5100 | tda 0.5046 | ic 0.0057 | icir 0.0918
| epoch   6 |  16.3s | loss 0.1208 | mae 0.0927 | rmse 0.5867 | da 0.5089 | tda 0.5046 | ic 0.0065 | icir 0.1036
| epoch   7 |  16.0s | loss 0.1173 | mae 0.0916 | rmse 0.5778 | da 0.5076 | tda 0.5044 | ic 0.0098 | icir 0.1706
